Date,Open,High,Low,Close,Volume,Stock,Daily_Return,Cumulative_Return,MA_20,MA_50,Normalized_Close
2000-01-03,150.92476641474016,151.6874359651787,148.05883218088053,148.873621790851,2227434.0,AAPL,,,,,0.05036074570044875
2000-01-04,150.86803426637744,151.82873640709664,149.46868088861837,150.03738990465405,5362751.0,AAPL,0.007817154575832097,0.007817154575832097,,,0.05330539858830317
2000-01-05,150.08216331424865,150.72943080068913,146.97424763078504,148.8329750018787,2253115.0,AAPL,-0.008027431719125011,-0.00021027714329291403,,,0.050257898163117536
2000-01-11,150.0623737405173,150.31780758508935,147.63052287722348,149.34706476540993,5265559.0,AAPL,0.0034541388662339134,0.0032438617229409994,,,0.051558686429133534
2000-01-12,149.48578236188638,149.77952044844446,145.40656480502878,146.6947704120113,1119410.0,AAPL,-0.017759266695765108,-0.014515404972824109,,,0.04484765341959975
2000-01-13,147.15797438996307,147.77060350965027,146.23954457690235,147.0339824849012,3592614.0,AAPL,0.0023123665004360916,-0.012203038472388017,,,0.04570595310850096
2000-01-17,148.3848138641215,149.36860778181233,144.3961726898986,145.38697077825083,2496667.0,AAPL,-0.011201571764673512,-0.02340461023706153,,,0.04153856123653325
2000-01-18,147.43876460154323,147.62175802334994,145.91464968180878,147.01695915605006,3310826.0,AAPL,0.011211378633683378,-0.012193231603378152,,,0.04566287941205933
2000-01-19,147.02803087702327,150.22876210814613,146.78509352259755,150.1752393102471,3419283.0,AAPL,0.02148242061546579,0.00928918901208764,,,0.0536541954366221
2000-01-20,149.76894333336034,155.3608178182639,149.01531904808834,153.71879360321896,1810222.0,AAPL,0.0235961288242148,0.03288531783630244,,,0.06262036082499114
2000-01-21,152.50604819827166,157.70089105613934,152.1669937471387,156.90852216133504,2887787.0,AAPL,0.02075041368298436,0.0536357315192868,,,0.07069124994690923
2000-01-24,156.09335643809615,156.89035230181844,153.5819397047601,154.03267849480363,1402280.0,AAPL,-0.018328154691141907,0.03530757682814489,,,0.06341457579058102
2000-01-26,154.0710383659278,157.73387300559912,151.73728183222224,157.3018714013482,3286426.0,AAPL,0.021224021671835347,0.05653159849998024,,,0.07168653153419637
2000-01-27,156.36127764543957,163.27672351437656,156.1507308819984,161.61372457738244,5094892.0,AAPL,0.02741132789852685,0.08394292639850709,,,0.08259670406446226
2000-01-28,161.91109811279986,165.65842224973844,161.6941916690675,165.11894887604507,4019673.0,AAPL,0.02168890239878296,0.10563182879729005,,,0.09146588404216792
2000-01-31,163.23492092434964,164.484995056798,163.16207375729746,164.0245545492183,4220379.0,AAPL,-0.006627914810966584,0.09900391398632347,,,0.08869676588476212
2000-02-01,164.93069764198535,171.99375366154126,163.95338234093387,171.1922393426643,1804432.0,AAPL,0.043698852364785434,0.1427027663511089,,,0.10683297659196037
2000-02-02,171.59185379920376,172.90702154163196,165.34932927798877,165.7294278414991,2944305.0,AAPL,-0.031910392212526895,0.110792374138582,,,0.0930105634566297
2000-02-03,166.27035934588002,168.74125933342472,166.03307816478969,168.0394251704363,1851176.0,AAPL,0.013938365437105249,0.12473073957568726,,,0.09885549100268719
2000-02-04,166.19132200042225,167.1407441686412,165.10908408889588,166.8221167647486,2076863.0,AAPL,-0.007244183348360078,0.11748655622732718,155.8950638193477,,0.09577536647469702
2000-02-07,167.03008240389153,168.67914869109202,164.01289835846814,164.6393887599787,2049141.0,AAPL,-0.013084164420764433,0.10440239180656274,156.68335216780412,,0.09025246526575896
2000-02-08,163.52631153654374,167.49022770026326,163.09696130112127,166.19951018047485,5429230.0,AAPL,0.009475991330182731,0.11387838313674548,157.49145818159514,,0.09420000085448964
2000-02-10,168.2054097213681,172.74904552065686,167.85949342076813,172.60465270220388,3395834.0,AAPL,0.038538877249239434,0.1524172603859849,158.6800420666114,,0.11040677022720703
2000-02-11,172.57262324401125,173.6665374742235,169.5098195752092,170.38870190928486,4046051.0,AAPL,-0.012838302781688071,0.13957895760429684,159.73212392380515,,0.10479980624158222
2000-02-14,170.5157367869425,173.1800770075276,168.76574823811885,172.5774051229689,2423397.0,AAPL,0.012845354117723806,0.15242431172202064,161.026255659353,,0.11033782636980997
2000-02-15,173.12576596040907,176.96803774261647,171.10674673536818,176.40802259520854,1013554.0,AAPL,0.022196517959637507,0.17462082968165815,162.4949576648684,,0.1200303404266136
2000-02-16,178.02021084502942,180.2790379669376,172.8110676530874,173.48937438560262,3297530.0,AAPL,-0.01654487231741808,0.15807595736424007,163.90007784523598,,0.11264535902257627
2000-02-17,173.76494408527046,174.23250119509115,171.44494019824683,171.46007026760782,2778505.0,AAPL,-0.011696993693022462,0.1463789636712176,165.12223340081385,,0.10751066237595594
2000-02-21,173.37661490875612,173.99062351582754,168.7622525096765,169.6989128195233,5802930.0,AAPL,-0.010271531122877708,0.1361074325483399,166.09841707627768,,0.10305445043479766
2000-02-22,171.07028438605636,176.91720482391727,170.6466111873068,174.16619146733163,1079666.0,AAPL,0.026324733456361882,0.16243216600470178,167.12078696948328,,0.11435789208704533
2000-02-23,172.88313867897824,173.30034025335743,168.29054033052634,168.924014116077,5256214.0,AAPL,-0.030098708062051838,0.13233345794264995,167.7215615672204,,0.10109374393508003
2000-02-25,169.8641977019875,172.69526296114566,169.12486491263078,170.97075817507087,5670967.0,AAPL,0.012116359356624473,0.14444981729927442,168.56846555123374,,0.10627256842127412
2000-02-29,171.40490108978494,175.13892055347944,170.8269157033613,174.11597503324597,3688585.0,AAPL,0.01839622688550313,0.16284604418477755,169.40917073282864,,0.11423083071984147
2000-03-01,175.7657337307217,176.5523378393378,172.48153141907054,173.02376913709836,4647312.0,AAPL,-0.0062728643706533305,0.15657317981412422,169.97967296081444,,0.11146724989297671
2000-03-02,172.5053166191294,174.17237905527156,170.56553916536288,170.68704646220365,5149960.0,AAPL,-0.01350521195179355,0.14306796786233067,170.25807784012238,,0.10555469988311451
2000-03-03,169.6325021962051,173.2380488445695,168.55707941936043,172.33990912375288,1802926.0,AAPL,0.009683585812794604,0.15275155367512527,170.67384556884912,,0.10973689627759427
2000-03-06,173.03602773371512,175.08963487739976,173.00820018908584,174.3946688861004,1707867.0,AAPL,0.011922715828241781,0.16467426950336705,170.83396704602092,,0.11493600269431087
2000-03-08,174.61614610915484,177.67338849203142,174.03270313065678,176.83907541799084,2507604.0,AAPL,0.014016520960780765,0.17869079046414782,171.3894494248455,,0.12112102243136091
2000-03-10,174.93575342740448,175.35090741175318,172.61622668884743,173.27830647718142,5028367.0,AAPL,-0.02013564554323133,0.1585551449209165,171.65139349018276,,0.11211129925698017
2000-03-13,173.44816741207663,173.87708781025762,166.779653490672,167.3905511645728,4986607.0,AAPL,-0.03397860604889946,0.12457653887201703,171.67981521017396,,0.09721366159306742
2000-03-14,167.09575283342153,170.25874154624242,166.14331760263113,169.24983949085188,5149361.0,AAPL,0.011107486732934602,0.13568402560495163,171.91033774671763,,0.10191817160188713
2000-03-15,169.41579723101177,169.59862454161507,167.69982712989483,168.15524482120637,4298331.0,AAPL,-0.0064673306216321835,0.12921669498331945,172.0081244787542,,0.09914854652213761
2000-03-16,167.7441523347085,169.24234762162365,163.19988873726558,163.3301953286147,4700796.0,AAPL,-0.02869401723224252,0.10052267775107693,171.54440161007474,,0.08693984639203171
2000-03-21,162.9438042958624,163.3603619257006,160.55470616186437,161.67449651260455,5902144.0,AAPL,-0.010137126283838338,0.09038555146723859,171.1086913402407,,0.08275047374798407
2000-03-22,159.9440250623747,161.4191864097814,154.46235009759883,155.25096479536143,3647092.0,AAPL,-0.03973126161393259,0.050654289853306,170.24236932386037,,0.06649717466111346
2000-03-23,154.98084455565092,155.98150726080925,152.55121909931768,152.87491754133256,2600223.0,AAPL,-0.015304557090262016,0.035349732763043984,169.06571407116652,,0.060485122667877055
2000-03-24,153.9456172002369,155.12826331734203,152.53405104505296,154.62510641306775,5964979.0,AAPL,0.011448502474331601,0.046798235237375585,168.12250067253981,,0.06491358109900214
2000-03-28,152.43311439265668,153.9852751246882,152.3738201655846,152.78563309190426,4362907.0,AAPL,-0.011896343121986286,0.0349018921153893,167.18877881375462,,0.06025920849414155
