Date,Open,High,Low,Close,Volume
2011-02-28,149.0240644785833,149.1813107511896,148.63294478015828,148.8039117140711,1321558.0
2005-04-21,97.31234119691658,97.46202614065417,94.52312395239218,95.89192212862503,5739634.0
2000-10-23,218.5423789060928,220.0113845680048,216.99895992129163,217.9197874740096,4172932.0
2019-08-06,-104.10967281074853,-103.30913782266803,-106.26509450067323,-104.44485409518165,1425239.0
2013-12-09,,,,,
2013-08-12,74.36169320906578,74.59937621581348,74.072580273719,74.53127502773094,1542651.0
2008-02-21,292.5477983197657,292.69841429519306,290.239412216184,290.4283310757071,1626252.0
2000-09-12,228.8004845432029,230.23765960267755,228.27746153208503,229.54810226074974,2820835.0
2003-02-12,130.36723608923432,134.9891650583803,130.1208665773958,134.39983766634327,4660273.0
2018-01-08,-123.4286312826449,-123.06411488777371,-124.70101603705719,-123.96773080847804,4263657.0
2011-08-03,147.5678263130007,148.21831131170464,145.60759109699612,146.2999701367379,3371529.0
2004-01-09,102.74854113917145,102.838091272969,100.10532903294828,101.39383728800362,5523693.0
2007-10-31,268.514370138447,274.8530749208537,268.1264426335138,274.44581210326675,1484659.0
2007-03-09,238.6405085754268,242.2198852316085,237.11842210845336,241.488795579582,5165259.0
2000-06-15,239.72592360492516,240.2942629648939,232.13153187323178,232.14260070721986,2265299.0
2002-01-21,110.06168286915853,111.17270255285602,109.97371813479776,110.17632021980376,4204448.0
2019-12-25,-101.4547911020896,-99.76842347122611,-102.02120843921281,-100.20098602074044,2087789.0
2013-07-22,77.923834195059,80.31734193804449,77.40978866157238,79.6778357716106,5004587.0
2010-11-16,166.60880399174985,172.34480625810338,165.27224526946108,170.83530974336094,2990825.0
2023-01-05,-264.516860589233,-263.6897798827339,-268.20292404037076,-267.119962219743,4617533.0
2012-02-24,119.02066995429982,119.25501813230542,114.60538465820548,114.71029849653327,3701824.0
2003-01-28,130.7467876578098,131.83598354983752,129.5017086432301,131.53255909061545,26575434.0
2024-04-29,-275.994382252925,-274.72499090920235,-283.52752060655075,-281.15625255959844,4760665.0
2000-09-01,227.3284362215022,227.85619646827243,225.99284273250998,227.36510052859256,4271067.0
2015-03-09,-34.27135129863029,-33.70615041054606,-37.15884881337594,-37.08065888830152,3323214.0
2018-03-29,-141.8770563495795,-140.71491971481166,-142.2296351314295,-140.72322010659212,855628.0
2014-09-08,-7.8803855137642715,-0.7769068420315471,-9.595797683572595,-1.6906231785939907,2383960.0
2019-02-18,-123.74267047833654,-123.71338169579562,-124.47020389827883,-123.94757926270388,1655757.0
