Date,Open,High,Low,Close,Volume
2022-11-08,486.2539338458587,487.57432570792577,485.8805270748082,486.4470768703173,2156062.0
2000-05-26,139.79023630038702,141.73093999751077,139.7135020616705,140.20864243416628,3516983.0
2022-10-03,507.24399177747216,508.07851476974923,506.88756817588506,507.96860749178813,1578140.0
2018-11-09,491.4603677865025,494.4542740441788,487.6126244159593,489.1600877407805,2370674.0
2011-02-04,311.06601163134496,315.0844730784193,310.5077031352185,314.05681995105925,3806528.0
2013-08-01,312.0176510840543,313.79418346222633,310.806708654391,312.95307782109523,4159428.0
2015-03-31,421.2834308614152,422.17209684246416,418.5445025527599,419.21252177733686,2733024.0
2001-09-13,188.46078619561982,190.30978051191997,188.4542681206409,189.82582599149788,2236442.0
2023-03-31,465.175082333618,467.5132576798013,464.9752848727817,467.20912663544044,2145343.0
2023-07-24,450.14893263860404,453.6073196784866,448.00419656561655,452.53188216811685,2820314.0
2005-10-04,329.3930377023491,330.2361539302879,328.38778574069715,329.9401557016301,801251.0
2001-09-19,189.6271371415274,189.77259619263478,187.50882511814453,188.67461005129098,3360259.0
2008-06-11,275.9419090013209,277.8733906942862,275.07238663291645,277.0578378343601,5743347.0
2012-09-07,342.336955494701,343.79869761578243,340.6461202118961,341.5628062980645,1827243.0
2003-12-19,275.3495012433636,276.25884748706943,275.0660171579054,276.04043555109695,1238319.0
2022-11-29,472.8050044630639,474.2464604830501,470.85869301123734,471.48199035361785,4098297.0
2015-05-08,411.92776098485456,412.4692448987659,411.12315607003427,411.8808564384837,5423970.0
2017-02-28,463.60687553132055,465.8723994963848,463.1246661445323,464.84507114107276,1836916.0
2013-03-13,275.5544949617097,278.64532796851205,275.46759402946986,278.08399741771314,1577732.0
2019-03-20,435.08306485483865,436.9603295535499,434.61548922312994,436.47645886298307,3400573.0
2010-10-13,328.8291312960691,331.76122689304054,328.34311603552584,331.12458424184103,1742850.0
2008-07-23,296.6732375427195,296.83451799603245,294.61466137820406,295.3027172003813,4099498.0
2016-11-04,438.8486355641085,439.1694095303109,438.20900823700714,438.9433666534511,1013833.0
2012-07-27,335.8081030855585,337.117475296543,335.33231499426887,336.7101159007387,5128163.0
2002-08-08,214.8731425278082,215.507070750324,212.6694072507978,213.80782465583403,4881769.0
2008-10-15,306.6991180777813,308.8819068815274,306.0487387646045,308.82640265064833,973608.0
2003-01-28,250.01420548110997,251.0288863546773,249.69132207312532,249.7518130683369,2884395.0
2012-05-30,340.9420582143904,341.66415868146896,339.376293809452,340.3486870188768,4480818.0
2005-01-25,326.70326909046844,327.4723218983141,321.9158423883431,322.7107091010312,5161999.0
2014-04-16,386.6115125156247,389.7690501919117,386.2578014720408,389.55330633628114,5302970.0
2018-09-18,486.9877775914376,488.1719070663975,483.80917217368045,484.7756319613072,3378262.0
2010-11-08,321.43082972457114,325.39195153263717,321.4157832359858,323.5437317218366,3966036.0
2004-08-03,,,,,
2009-03-02,352.3142868688341,353.80742337262194,350.8412467364998,352.57528944596396,2525081.0
2012-07-23,339.37180711495694,342.5054230084066,339.08459923517086,342.34663472883636,1843008.0
2022-07-20,491.694762478411,492.6300123422858,491.05480257496674,492.11918254385273,2409596.0
2012-07-06,339.763502990276,343.06978432976547,339.60925342709015,342.3841680875526,4085872.0
2019-04-04,433.2211372401975,434.9925752402631,432.03073758767295,433.7895644715718,4992687.0
2008-01-09,270.4333478940359,271.91454728152314,270.1449046683079,271.6409145416797,4470610.0
2018-08-22,486.51530847554557,489.6935134249256,484.5902891851563,488.8454729135219,2707205.0
2011-11-07,316.5217178912347,317.39011846565313,310.35050090928365,311.5251902119397,1811609.0
2016-02-22,421.02741309157767,422.0498971854735,418.4745965737593,419.07790864915853,5853140.0
2010-02-03,327.8520513848636,329.42266671959544,325.91063795343064,327.0735390911307,3878257.0
2008-09-11,289.13516082474854,290.1932724372257,288.689557698912,289.5483718110175,4789196.0
2024-01-30,441.9762396177288,442.7980047425271,439.5652146753429,439.6840328319721,1908893.0
